model,iterations,tuning_MAE,test_R2,test_RMSE,test_MAE,max_residual,top_features,top_feature_weights
cat_ordinal,5,33.280655091172086,0.817224922764074,46.67315458440882,35.314366504687854,233.20683244073234,"[""stage"", ""weight"", ""rarity"", ""height"", ""type_2""]","[39.4697762459052, 16.71572955065748, 13.31095849655698, 10.908690328012877, 4.289255991121925]"
cat_native,5,33.75349231843046,0.8063397167902179,48.04287056189857,36.13223559861142,229.29379504900413,"[""stage"", ""rarity"", ""color"", ""weight"", ""height""]","[44.28500912962529, 11.324090375921468, 7.474828877758055, 7.192171054051528, 6.007662918261605]"
light_gbm,5,32.81951974597299,0.843050364949536,43.25026993900878,31.657710799343324,206.45941457625872,"[""weight"", ""height"", ""mono_dev_z"", ""type_1"", ""dev_z_t1""]","[35.57617942768755, 18.447750329830306, 10.76384149947682, 7.169828488239843, 6.883217324052591]"
